LOC,CyclomaticComplexity,ParameterCount,IsBuggy
0.077922,0.125,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.051948,0,0,no
0.025974,0,0,no
0.038961,0,0.25,no
0.051948,0.125,0.25,no
0.051948,0.125,0.25,no
0.025974,0,0,no
0.051948,0.125,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.064935,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.194805,0.125,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.064935,0.125,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.064935,0.125,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.051948,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.194805,0.125,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.038961,0,0.25,no
0.038961,0,0.25,no
0.038961,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.051948,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.064935,0.125,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.077922,0.125,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.038961,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.064935,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.051948,0.125,0,no
0.051948,0.125,0.25,no
0.051948,0.125,0,no
0.051948,0.125,0.25,no
0.051948,0.125,0,no
0.051948,0.125,0.25,no
0.051948,0.125,0,no
0.051948,0.125,0.25,no
0.12987,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.038961,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.064935,0.125,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.155844,0.25,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.051948,0.125,0,no
0.051948,0.125,0.25,no
0.051948,0.125,0,no
0.051948,0.125,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
