Project,MethodName,Release,LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readLog(),4.0.0,23,4,0,3,1,1,10,0,0,10.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/toString(),4.0.0,9,1,0,0,1,1,5,0,0,5.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLastLogMark(),4.0.0,3,1,0,0,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isRunning(),4.0.0,3,1,0,0,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run(),4.0.0,77,11,0,10,4,2,72,13,0,21.25,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long),4.0.0,3,1,1,0,0,0,0,0,0,0.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long, long)",4.0.0,11,2,2,0,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown(),4.0.0,19,3,0,3,1,1,2,0,0,2.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerForEntry(ByteBuffer, byte[])",4.0.0,11,2,2,1,0,0,0,0,0,0.0,yes
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntryInternal(LedgerDescriptor, ByteBuffer, WriteCallback, Object)",4.0.0,12,2,4,1,0,0,0,0,0,0.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/recoveryAddEntry(ByteBuffer, WriteCallback, Object, byte[])",4.0.0,11,1,4,0,0,0,0,0,0,0.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntry(ByteBuffer, WriteCallback, Object, byte[])",4.0.0,15,2,4,1,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fenceLedger(long),4.0.0,6,1,1,0,0,0,0,0,0,0.0,yes
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readEntry(long, long)",4.0.0,11,2,2,1,0,0,0,0,0,0.0,yes
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/writeComplete(int, long, long, InetSocketAddress, Object)",4.0.0,6,2,5,1,1,1,1,1,0,2.0,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/incCount(),4.0.0,3,1,0,0,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/waitZero(),4.0.0,5,2,0,1,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/main(String[]),4.0.0,18,2,1,1,1,1,2,2,0,4.0,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieException(int),4.0.0,3,1,1,0,2,2,82,1,0,41.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/create(int),4.0.0,10,4,1,3,3,3,87,4,0,30.333333333333332,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/setCode(int),4.0.0,3,1,1,0,2,2,83,2,0,42.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getCode(),4.0.0,3,1,0,0,2,2,84,3,0,43.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getMessage(int),4.0.0,12,5,1,4,3,3,86,3,0,29.666666666666668,yes
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieUnauthorizedAccessException(),4.0.0,3,1,0,0,2,2,82,1,0,41.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieIllegalOpException(),4.0.0,3,1,0,0,0,0,0,0,0,0.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/LedgerFencedException(),4.0.0,3,1,0,0,1,1,6,0,0,6.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/BufferedChannel(FileChannel, int)",4.0.0,6,1,2,0,3,2,174,5,0,59.666666666666664,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/getFileChannel(),4.0.0,3,1,0,0,2,2,176,0,0,88.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/write(ByteBuffer),4.0.0,24,5,1,4,2,2,171,3,0,87.0,no
