LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
0.458269,0.645144,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,yes
0.043645,0,0,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.087289,0.161286,0,0.172227,0.17793,0.265974,0.318558,0,0,0.609127,no
0.283691,0.161286,0.393442,0.172227,0.17793,0.265974,0.318558,0,0,0.609127,no
0.894717,0.967716,0.590162,0.861134,0.53379,0.797923,0.324929,0.070035,0,0.211164,no
0.436447,0.322572,0.196721,0.344454,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.174579,0.161286,0.196721,0.344454,0.35586,0.531949,0.321743,0.035017,0,0.310655,no
0.130934,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
1,1,0,1,0.53379,0.797923,0.37112,0.490243,0,0.26497,no
0.240046,0.161286,0,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.261868,0.161286,0.196721,0.172227,0.35586,0.531949,0.20547,0,0,0.196444,no
0.305513,0.161286,0.196721,0.172227,0.35586,0.531949,0.275552,0,0,0.263448,no
0.392802,0.483858,0,0.51668,0.71172,0.797923,0.280331,0.052526,0,0.136292,no
0.130934,0.161286,0,0.172227,0,0,0,0,0,0,yes
0.043645,0,0.393442,0,0.17793,0.265974,0.006371,0,0,0.012183,no
0.261868,0.322572,0.393442,0.344454,0.17793,0.265974,0.004778,0.017509,0,0.012183,yes
0.109112,0.161286,0,0.172227,0,0,0,0,0,0,yes
0.392802,0.483858,0.393442,0.51668,0,0,0,0,0,0,yes
0.043645,0,0,0,0,0,0,0,0,0,no
0.196401,0.322572,0,0.172227,0,0,0,0,0,0,yes
0.043645,0,0,0,0,0,0,0,0,0,no
0.37098,0.161286,0.393442,0.172227,0.71172,0.797923,0.350413,0.122561,0.642074,0.17284,no
0.043645,0,0,0,0.35586,0.531949,0.334485,0.105052,0,0.328929,no
0.043645,0,0,0,0.35586,0.531949,0.326522,0.140069,0,0.32436,no
0.152756,0.161286,0.393442,0.172227,0.35586,0.531949,0.321743,0.035017,0,0.310655,no
0.130934,0.161286,0.590162,0.172227,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.261868,0.322572,0.590162,0.344454,0.17793,0.265974,0.318558,0,0,0.609127,no
0.414625,0.322572,0.590162,0.344454,0.53379,0.797923,0.323336,0.052526,0,0.209134,no
0.458269,0.322572,0.393442,0.344454,0.53379,0.797923,0.323336,0.052526,0,0.209134,no
0.240046,0,0.196721,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.174579,0.322572,0.196721,0.344454,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.851072,1,0.393442,1,0.53379,0.531949,0.321743,0.035017,0,0.207103,no
0.392802,0.483858,0.196721,0.51668,0.17793,0.265974,0.318558,0,0.642074,0.609127,yes
1,1,0.196721,1,0.53379,0.797923,0.328114,0.087543,0,0.21421,yes
0.065467,0,0.393442,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.632848,1,0.983604,1,0.53379,0.797923,0.323336,0.052526,0,0.209134,no
1,1,0.393442,1,0.53379,0.797923,0.324929,0.070035,0,0.211164,yes
0.458269,0.483858,0.196721,0.688907,0.53379,0.797923,0.321743,0.035017,0,0.207103,no
0.501914,0.483858,0,1,0.53379,0.797923,0.321743,0.035017,0,0.207103,no
0.611026,0.161286,0.196721,0.172227,0.35586,0.531949,0.321743,0.035017,0,0.310655,yes
0.087289,0,0.590162,0,0.35586,0.531949,0.213434,0.017509,0,0.205581,no
0.043645,0,0.196721,0,0.35586,0.531949,0.215026,0.035017,0,0.208626,no
0.043645,0,0.196721,0,0.35586,0.531949,0.213434,0.017509,0,0.205581,no
0.043645,0,0,0,0.35586,0.531949,0.218212,0,0,0.208626,no
0.043645,0,0,0,0.17793,0.265974,0.211841,0,0,0.40507,no
0.043645,0,0,0,0.17793,0.265974,0.211841,0,0,0.40507,no
0.043645,0,0,0,0.35586,0.531949,0.226176,0,0,0.21624,no
0.043645,0,0,0,0.53379,0.797923,0.227769,0.017509,0,0.146191,no
0.043645,0,0,0,0.53379,0.797923,0.229361,0.035017,0,0.148221,no
0.436447,0.161286,0.196721,0.172227,0.35586,0.531949,0.213434,0,0,0.204058,no
0.938361,1,0.196721,1,0.53379,0.797923,0.218212,0.070035,0,0.143145,yes
0.021822,0,0,0,0,0,0,0,0,0,no
0.087289,0,0.393442,0,0.35586,0.531949,0.250068,0,0,0.239083,no
0.196401,0.161286,0,0.172227,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.109112,0.161286,0,0.172227,0.17793,0.265974,0.240511,0,0,0.459891,no
0.087289,0.161286,0,0.172227,0.17793,0.265974,0.240511,0,0,0.459891,no
0.087289,0,0.196721,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.065467,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0.196721,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.109112,0,0.393442,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.065467,0,0.196721,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.109112,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.196401,0.322572,0.196721,0.344454,0.17793,0.265974,0.240511,0,0,0.459891,no
0.087289,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0.196721,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.109112,0.161286,0.196721,0.172227,0.35586,0.531949,0.243697,0.035017,0,0.236037,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.043645,0,0,0,0.17793,0.265974,0.240511,0,0,0.459891,no
0.152756,0.322572,0,0.344454,0.35586,0.531949,0.242104,0.017509,0,0.232991,no
0.087289,0,0.196721,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.109112,0,0.590162,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.109112,0,0.590162,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0.196721,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0.196721,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0.393442,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.109112,0,0.590162,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.109112,0,0.590162,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.109112,0,0.590162,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0.196721,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.109112,0,0.590162,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0.196721,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0.393442,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.109112,0,0.590162,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0.087289,0,0,0,0.17793,0.265974,0.23414,0,0,0.447709,no
0,0,0.786883,0,0.35586,0.531949,0.22299,1,0,0.348725,no
0,0,0.590162,0,0.35586,0.531949,0.219805,0.175087,0,0.225377,no
0,0,0.590162,0,0.35586,0.531949,0.22299,0.192596,0,0.229946,no
0,0,0.590162,0,0.35586,0.531949,0.313779,0.017509,0,0.301518,no
0.021822,0,0.786883,0,0.35586,0.531949,0.313779,0.017509,0,0.301518,no
0,0,0.393442,0,0.35586,0.531949,0.313779,0.017509,0,0.301518,no
0,0,0.590162,0,0.35586,0.531949,0.313779,0.017509,0,0.301518,no
0,0,0.393442,0,0.53379,0.531949,0.151315,0.035017,0,0.098476,no
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.851072,1,0.196721,1,0.53379,0.531949,0.324929,0,0,0.207103,yes
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.894717,1,0.196721,1,0.53379,0.531949,0.324929,0,0,0.207103,yes
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.35586,0.531949,0.328114,0,0,0.313701,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.043645,0,0,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0,0,0,0,0,0,no
0.043645,0,0,0,0.17793,0.265974,0.009557,0,0,0.018274,no
0.065467,0,0.196721,0,0.53379,0.797923,0.385455,0.455226,0,0.272077,no
0.327335,0.161286,0.196721,0.172227,0.53379,0.797923,0.407754,0.26263,0,0.275123,no
0.130934,0.161286,0.196721,0.172227,0.35586,0.531949,0.379084,0.227613,0,0.382227,no
0.109112,0,0.393442,0,0.53379,0.797923,0.337671,0.612804,0,0.250757,no
0.283691,0.161286,0.590162,0.172227,0.71172,0.797923,0.396604,0.052526,0,0.191875,no
0.043645,0,0,0,0.53379,0.797923,0.391826,0.017509,0,0.250757,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.35586,0.531949,0.332893,1,0,0.452277,no
0.043645,0,0,0,0.35586,0.531949,0.328114,0.017509,0,0.315223,no
0.130934,0,1,0,0.53379,0.797923,0.377491,0.052526,0,0.243651,no
0.065467,0,0.393442,0,0.53379,0.797923,0.396604,0.035017,0,0.254818,no
0.458269,0.161286,0.786883,0.172227,0.71172,0.797923,0.696048,0.140069,0,0.338827,no
0.065467,0,0.983604,0,0.35586,0.531949,0.635522,0.052526,0,0.612173,no
0.065467,0,0.983604,0,0.53379,0.797923,0.637115,0.052526,0,0.409131,no
0.392802,0.161286,0.590162,0.172227,0.71172,0.797923,0.69127,0.070035,0,0.333497,no
0.414625,0.161286,0.590162,0.172227,0.35586,0.531949,0.412532,0.052526,0,0.398978,no
0.043645,0,0.590162,0,0.35586,0.531949,0.412532,0.052526,0,0.398978,no
0.240046,0.161286,0.196721,0.172227,0.35586,0.531949,0.412532,0.052526,0,0.398978,no
0.261868,0.322572,0,0.344454,0.35586,0.265974,0.09716,0,0,0.092892,no
0.109112,0,0.590162,0,0,0,0,0,0,0,no
0.174579,0,0.590162,0,0,0,0,0,0,0,no
0.087289,0,0.393442,0,0,0,0,0,0,0,no
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.327335,0.161286,0.196721,0.172227,0.35586,0.265974,0.355192,0.017509,0,0.341111,no
0.109112,0.161286,0.196721,0.172227,0.35586,0.265974,0.355192,0.017509,0,0.341111,no
0.065467,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.065467,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.567381,0.322572,0.393442,0.344454,0.35586,0.531949,0.321743,0.017509,0,0.309132,no
0.196401,0,0.393442,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.305513,0.161286,0.786883,0.172227,0.35586,0.265974,0.321743,0.035017,0,0.310655,no
0.174579,0.161286,0.590162,0.172227,0.17793,0.265974,0.318558,0,0.642074,0.609127,yes
0.676493,0.483858,0.786883,0.688907,0.17793,0.265974,0.318558,0,0.642074,0.609127,no
0.414625,0.322572,0.786883,0.51668,0.17793,0.265974,0.318558,0,0,0.609127,no
0.567381,0,0.983604,0,0.35586,0.265974,0.353599,0.490243,0,0.380705,no
0.043645,0,0.196721,0,0.35586,0.265974,0.321743,0.245122,0,0.328929,no
0.065467,0,0.590162,0,0.35586,0.265974,0.344042,0.017509,0.642074,0.330452,yes
0.065467,0,0.393442,0,0.35586,0.265974,0.344042,0.017509,0,0.330452,no
0.218224,0.161286,0.393442,0.172227,0.17793,0.265974,0.318558,0,0,0.609127,no
1,1,0.786883,1,0.71172,0.531949,0.363156,0.560278,0,0.197966,yes
1,1,0.590162,1,0.53379,0.265974,0.3313,0.140069,0.642074,0.219286,yes
1,0.80643,1,1,0.71172,0.531949,0.358377,0.105052,0,0.175886,yes
1,0.483858,0.786883,0.51668,0.35586,0.531949,0.32015,0.017509,0.642074,0.307609,no
0.785605,0.483858,0.786883,0.51668,0.35586,0.531949,0.32015,0.017509,0.642074,0.307609,no
0.37098,0.322572,0.983604,0.344454,0.17793,0.265974,0.318558,0,0.642074,0.609127,no
0.196401,0,0.983604,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.436447,0.161286,0.590162,0.172227,0.53379,0.531949,0.445981,0.035017,0.642074,0.28629,yes
0.501914,0.322572,0.786883,0.344454,0.35586,0.531949,0.438017,0,1,0.418775,yes
0.065467,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.065467,0,0.196721,0,0.35586,0.531949,0.321743,0.035017,0,0.310655,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0.196721,0,0.35586,0.531949,0.32015,0.017509,0,0.307609,no
0.065467,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.567381,0.322572,0.786883,0.344454,0.17793,0.265974,0.318558,0,0,0.609127,no
